Version Implemented	CLI Parameter Type	Purpose/Meaning	CLI Parameter(s)	Export	Import	Set-Update	Rename	Delete	CLI Sub-Parameter(s)	Options	Default Option/Action	Environmental Parameter(s)	Description	Notes
00.00.00.000	Standard	Set [web ssl] Port	-P <web-ssl-port> | --port <web-ssl-port> | -P=<web-ssl-port> | --port=<web-ssl-port>	true	true	true	true	true	<web-ssl-port>	Port 1 - 65K	host web ssl port	-	Gaia / API web ssl port used for API communication	script will figure this value out when running against the local management host
00.00.00.000	Standard	Set Management Server IP	-m <server_IP> | --management <server_IP> | -m=<server_IP> | --management=<server_IP>	true	true	true	true	true	<server_IP>	IP v4 Address	OFF	-	IP Address (IP v4) of the target management host server	-
00.00.00.000	Standard	Set Management Domain	-d <domain> | --domain <domain> | -d=<domain> | --domain=<domain>	true	true	true	true	true	<domain>	MDSM Domain	OFF	-	MDSM Domain to operate API activity against	-
00.00.00.000	Standard	Set session file path	-s <session_file_filepath> | --session-file <session_file_filepath> | -s=<session_file_filepath> | --session-file=<session_file_filepath>	true	true	true	true	true	<session_file_filepath>	FQFP to session file	script local	-	Session file, Fully Qualified File Path, for storage of session details	This is for retaining information on a session in the event of failure that prevents log-off.  session_file_filepath = fully qualified file path (FQFP) for session file
00.00.00.000	Standard	Set session timeout value	--session-timeout <session_time_out> | --session-timeout=<session_time_out>	true	true	true	true	true	<session_time_out>	600 [ 10 - 3600 ] seconds	600	-	Session Time Out value	Default = 600 seconds, allowed range of values 10 - 3600 seconds
00.60.08.075	Standard	Set connection timeout value	--conn-timeout <connection_time_out, [180,180-3600]> | --CTO <connection_time_out> | --conn-timeout=<connection_time_out> | --CTO=<connection_time_out>	true	true	true	true	true	<connection_time_out>	180 [ 10 - 3600 ] seconds	180	-	Connection Time Out value	Default = 180 seconds, allowed range of values 10 - 3600 seconds [assumed, need to verify, but no documentation!]
00.00.00.000	Standard	Set log file path	-l <log_path> | --log-path <log_path> | -l=<log_path> | --log-path=<log_path>	true	true	true	true	true	<log_path>	FQDP to logs folder	script local	-	Set log file path, Fully Qualified Directory Path	log_path = fully qualified [directory] folder path (FQDP) for log files
00.00.00.000	Standard	Set output file path	-o <output_path> | --output <output_path> | -o=<output_path> | --output=<output_path>	true	true	true	true	true	<output_path>	FQDP to output folder	script local	-	Set output file path, Fully Qualified Directory Path	output_path = fully qualified [directory] folder path (FQDP) for output files
00.60.05.010	Standard	Operating in nohup mode	--NOHUP	true	true	true	true	true	N/A	N/A	OFF	-	Operating in nohup mode	-
00.60.05.010	Standard	nohup script as called	--NOHUP-Script <NOHUP_SCRIPT_NAME> | --NOHUP-Script=<NOHUP_SCRIPT_NAME>	true	true	true	true	true	<NOHUP_SCRIPT_NAME>	Script name as called in do_script_nohup	N/A	-	nohup script as called	-
00.60.05.010	Standard	nohup date-time-group	--NOHUP-DTG <NOHUP_SCRIPT_DATE_TIME_GROUP> | --NOHUP-DTG=<NOHUP_SCRIPT_DATE_TIME_GROUP>	true	true	true	true	true	<NOHUP_SCRIPT_DATE_TIME_GROUP>	Date Time Group YYYY-MM-DD-HHmmZZZ	N/A	-	nohup date-time-group	-
00.60.05.010	Standard	Type of Object Export	-t <export_type> | -t <export_type> | --type-of-export <export_type>| --type-of-export=<export_type>	true	false	false	false	falsee	<export_type>	'standard'|'name-only'|'name-and-uid'|'uid-only'|'rename-to-new-name'	"standard	-	Type of Object Export to execute	Supported <export_type> values for export to CSV :     <'standard'|'name-only'|'name-and-uid'|'uid-only'|'rename-to-new-name'>
00.60.00.000	Standard	Type of Object Export - type 'standard'		true	false	false	false	false	-	-	-	-	Type of Object Export to execute : type 'standard'	'standard'           :  Standard Export of all supported object key values
00.60.00.000	Standard	Type of Object Export - type 'name-only'		true	false	false	false	false	-	-	-	-	Type of Object Export to execute : type 'name-only'	'name-only'          :  Export of just the name key value for object
00.60.00.000	Standard	Type of Object Export - type 'name-and-uid'		true	false	false	false	false	-	-	-	-	Type of Object Export to execute : type 'name-and-uid'	'name-and-uid'       :  Export of name and uid key value for object
00.60.00.000	Standard	Type of Object Export - type 'uid-only'		true	false	false	false	false	-	-	-	-	Type of Object Export to execute : type 'uid-only'	'uid-only'           :  Export of just the uid key value of objects
00.60.00.000	Standard	Type of Object Export - type 'rename-to-new-name'		true	false	false	false	false	-	-	-	-	Type of Object Export to execute : type 'rename-to-new-name'	'rename-to-new-name' :  Export of name key value for object rename
00.60.00.000	Standard	Type of Object Export - Delete Action		true	false	false	false	false	-	-	-	-	Type of Object Export to execute for Delete operations	For an export for a delete operation via CSV, use 'name-only'
00.60.00.000	Standard	Format for export	-f <all|csv|json> | --format <all|csv|json> | -f=<all|csv|json> | --format=<all|csv|json>	true	false	false	false	false	<all|csv|json>	all|csv|json	all	-	Format for export	
00.60.00.000	Standard	Details level for json	--details <all|full|standard> | --DETAILSLEVEL <all|full|standard> | --details=<all|full|standard> | --DETAILSLEVEL=<all|full|standard>	true	false	false	false	false	<all|full|standard>	all|full|standard	all	-	Details level for json	
00.60.00.000	Standard	Use devops results path	--RESULTS | --DEVOPSRESULTS	true	true	true	true	true	-	-	OFF	-	Use devops results path	
00.60.00.000	Standard	Set results output path	--RESULTSPATH <results_path> | --RESULTSPATH=<results_path> | --DEVOPSRESULTSPATH <results_path> | --DEVOPSRESULTSPATH=<results_path>	true	true	true	true	true	<results_path>	FQDP to results folder	OFF	-	Set results output path	results_path = fully qualified folder path for devops results folder
00.30.00.000	Standard	Export System Objects	--SO | --system-objects	true	false	false	false	false	-	-	default mode	-	Export System Objects	-
00.30.00.000	Standard	NO System Objects Export	--NSO | --no-system-objects	true	false	false	false	false	-	-	OFF	-	NO System Objects Export	-
00.60.09.000	Standard	ONLY System Objects Export	--OSO | --only-system-objects	true	false	false	false	false	-	-	OFF	-	ONLY System Objects Export	-
00.60.04.000	Standard	Ignore object where Creator is "System"	--CREATORISNOTSYSTEM | --NOSYS'	true	false	false	false	false	-	-	OFF	-	Ignore object where Creator is "System"	active with --NSO
00.60.09.000	Standard	Select object where Creator is "System"	--CREATORISSYSTEM'	true	false	false	false	false	-	-	OFF	-	Select object where Creator is "System"	-
00.60.01.000	Standard	CSV export add err handler	--CSVERR | --CSVADDEXPERRHANDLE	true	false	false	false	false	-	-	OFF	-	CSV export add err handler	-
00.60.01.000	Standard	Export 5 Tags for object	--5-TAGS | --CSVEXPORT05TAGS	true	false	false	false	false	-	-	default mode	-	Export 5 Tags for object	Used for simple objects only
00.60.01.000	Standard	Export 10 Tags for object	--10-TAGS | --CSVEXPORT10TAGS	true	false	false	false	false	-	-	OFF	-	Export 10 Tags for object	Used for simple objects only
00.60.01.000	Standard	Export NO Tags for object	--NO-TAGS | --CSVEXPORTNOTAGS	true	false	false	false	false	-	-	OFF	-	Export NO Tags for object	Used for simple objects only
00.60.08.055	Standard	Override Maximum Objects limits	--OVERRIDEMAXOBJECTS	true	false	false	false	false	N/A	N/A	OFF	-	Override the Maximum Objects limits set by the object and in code	Without a value set for --MAXOBJECTS <value> it will default to the API absolute maximum of 500 objects
00.60.08.055	Standard	Maximum Objects value	--MAXOBJECTS <maximum_objects_10-500> | --MAXOBJECTS=<maximum_objects_10-500>	true	false	false	false	false	<maximum_objects_10-500>	maxium number of objects [ 10 - 500 ]	OFF	-	Set Maximum Objects limit value for --OVERRIDEMAXOBJECTS	Requires --OVERRIDEMAXOBJECTS to set a maximum objects value.  Using a value outside of the acceptable range of 10 - 500 will result in the parameter being ignored
00.60.00.000	Standard	Export Data Domain info	--CSVEXPORTDATADOMAIN  (*)	true	false	false	false	false	-	-	OFF	-	Export Data Domain info	(*)  use of these will generate FOR_REFERENCE_ONLY CSV export !
00.60.00.000	Standard	Export Data Creator info	--CSVEXPORTDATACREATOR  (*)	true	false	false	false	false	-	-	OFF	-	Export Data Creator info	(*)  use of these will generate FOR_REFERENCE_ONLY CSV export !
00.60.00.000	Standard	Export Data Domain and Data Creator info	--CSVALL| --CSVEXPORTDATAALL  (*)	true	false	false	false	false	-	-	OFF	-	Export Data Domain and Data Creator info	(*)  use of these will generate FOR_REFERENCE_ONLY CSV export !
00.60.05.000	Standard	Keep CSV WIP folders	--KEEPCSVWIP	true	false	false	false	false	-	-	OFF	-	Keep CSV WIP folders	-
00.30.00.000	Standard	Remove CSV WIP folders	--CLEANUPCSVWIP	true	false	false	false	false	-	-	default mode	-	Remove CSV WIP folders	!! Default Action
00.30.00.000	Standard	No domain name in folders	--NODOMAINFOLDERS	true	false	false	false	false	-	-	OFF	-	No domain name in folders	-
00.00.00.000	Standard	Set export file path	-x <export_path> | --export-path <export_path> | -x=<export_path> | --export-path=<export_path>	true	false	false	false	false	<export_path>	FQDP to export folder	script local ./dump	-	Set export file path, Fully Qualified Directory Path	export_path = fully qualified folder path for export files
00.00.00.000	Standard	Set import file path	-i <import_path> | --import-path <import_path> | -i=<import_path> | --import-path=<import_path>	false	true	true	true	false	<import_path>	FQDP to import control CSVs folder	script local ./import.csv	-	Set import file path, Fully Qualified Directory Path to import control CSVs	import_path = fully qualified folder path for import files
00.00.00.000	Standard	Set delete file path	-k <delete_path> | --delete-path <delete_path> | -k=<delete_path> | --delete-path=<delete_path>	false	false	false	false	true	<delete_path>	FQDP to delete control CSVs folder	script local ./delete.csv	-	Set delete file path, Fully Qualified Directory Path to delete control CSVs	delete_path = fully qualified folder path for delete files
00.10.00.000	Standard	Set csv file path	-c <csv_path> | --csv <csv_path | -c=<csv_path> | --csv=<csv_path>	false	false	false	false	false	<csv_path>	FQDP to csv folder	script local	-	Set csv file path, Fully Qualified Directory Path	csv_path = fully qualified file path for csv file


00.00.00.000	Standard	x	x	true	true	true	true	true	-	-	OFF	-	x	-
00.00.00.000	Standard	x	x	true	true	true	true	true	-	-	OFF	-	x	-


